#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9

#if an entry is missing, it is considered to be blank
#if any delimiters are missing, all entries from that point on are blank
#some entries may have embedded HTML code

003|catechetical-letter-01_2015+first-things+god-he-who-is-the-trinity|Catechetical Letter 01|First Things|God He Who Is The Trinity|2015|Catechetical Letter 01|0000||0000|||||||||||||||Catechetical Letter 01|||||||
194|prison-ministry-visits_2014-01-17+prison-visit-report|Prison Ministry|||2014-01-17|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||I visited one of my prisons today, and as happens more often than not what I planned did not happen. Prison ministry is the answer to the prayer: &quot;Lord, help me to be patient&quot; Some interesting feedback from my guys. I may be traveling more. If you have prison ministry on your heart, we will need significantly more funding. Prison ministry is the answer to the prayer: &quot;Lord, help me to be patient&quot; ||I visited one of my prisons today, and as happens more often than not what I planned did not happen. Prison ministry is the answer to the prayer: &quot;Lord, help me to be patient&quot; Some interesting feedback from my guys. I may be traveling more. If you have prison ministry on your heart, we will need significantly more funding. |Prison Visit Report. Prison ministry is the answer to the prayer: &quot;Lord, help me to be patient&quot;||A Priest should speak with a full voice:Prison Visit Reports|||||||
195|prison-ministry-visits_2014-04-23+a-paschal-prison-visit+letters-matter-everything-matters-sometimes-it-takes-a-long-time|Prison Ministry|||2014-04-23|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3||||||||Prison Visit Report. a Paschal Visit. Letters matter - everything matters. Sometimes it takes a long time. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
196|prison-ministry-visits_2014-08-20+prison-visit+transfiguration-prayer-on-the-eighth-day-christ-is-in-our-midst-kissing-the-priests-hand-excommunication|Prison Ministry|||2014-08-20|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Prison Visit Report:Teaching Day.<br />Transfiguration<br />Prayer on the eighth day<br />Saying &quot;Christ is in our midst&quot;<br />Kissing the priests hand<br />What is excommunication?||Prison Visit Report:Teaching Day.<br />Transfiguration<br />Prayer on the eighth day<br />Saying &quot;Christ is in our midst&quot;<br />Kissing the priests hand<br />What is excommunication?|Prison Visit report: teaching day. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
197|prison-ministry-visits_2014-09-24+prison-visit+solitary-confinement-just-show-up-biblical-literacy-keep-it-simple|Prison Ministry|||2014-09-24|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||A Prison Visit report:Solitary confinement<br />Just show up<br />Biblical literacy<br />Keep it simple||A Prison Visit report:Solitary confinement<br />Just show up<br />Biblical literacy<br />Keep it simple|A Prison Visit report:Solitary confinement : Just show up : Biblical literacy : Keep it simple||A Priest should speak with a full voice:Prison Visit Reports|||||||
198|prison-ministry-visits_2014-10-01+prison-visit+never-a-typical-day-in-prison-two-main-principles-of-ministry-praying-is-the-hardest-thing|Prison Ministry|||2014-10-01|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Today I was unable to see my guys in the prison because of a last minute change that occurred AFTER I drove 2.5 hours to get there. I discuss a typical day in prison, and compare it to jumbo shrimp and Army intelligence. No matter, stuff still got done. The two principles of ministry, and life in general were obeyed. The most important and hardest thing anyway is prayer, and I discuss a rule for doing the Jesus prayer that almost everyone should follow. There is easy stuff, which we must do and it helps us do the hard stuff - intense and regular prayer.||Today I was unable to see my guys in the prison because of a last minute change that occurred AFTER I drove 2.5 hours to get there. I discuss a typical day in prison, and compare it to jumbo shrimp and Army intelligence. No matter, stuff still got done. The two principles of ministry, and life in general were obeyed. The most important and hardest thing anyway is prayer, and I discuss a rule for doing the Jesus prayer that almost everyone should follow. There is easy stuff, which we must do and it helps us do the hard stuff - intense and regular prayer.|Prison Visit Report: There is *NO* typical day in prison ministry. Two main principles of ministry. Praying is the hardest thing. Suggestions about the Jesus prayer.||A Priest should speak with a full voice:Prison Visit Reports|||||||
199|prison-ministry-visits_2014-10-08+prison-visit+best-st-sergius-day-ever-new-wine-in-old-bottles-unjust-judge-three-rules-of-ministry|Prison Ministry|||2014-10-08|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Prison Visit report, at the mouth of the Bosque river, in Waco. This was the best St Sergius day ever, because I celebrated liturgy in prison. The most important thing that happened was AFTER liturgy. Money cannot buy this! Those who minister *face to face* in prison will understand. Discussion of the parable about the new wine in old wineskins and the unjust judge. It all applies very much to prison life, which is a lot like regular life, except people live behind bars, and it is usually more physically dangerous. I even throw in a little singing of the song &quot;Patches&quot;, because it is relevant!||Prison Visit report, at the mouth of the Bosque river, in Waco. This was the best St Sergius day ever, because I celebrated liturgy in prison. The most important thing that happened was AFTER liturgy. Money cannot buy this! Those who minister *face to face* in prison will understand. Discussion of the parable about the new wine in old wineskins and the unjust judge. It all applies very much to prison life, which is a lot like regular life, except people live behind bars, and it is usually more physically dangerous. I even throw in a little singing of the song &quot;Patches&quot;, because it is relevant!|Prison Visit Report: Best St Sergius day ever  - new wine in old bottles - the unjust judge  - three rules of ministry - &quot;Patches&quot;||A Priest should speak with a full voice:Prison Visit Reports|||||||
200|prison-ministry-visits_2014-10-15+prison-visit-report|Prison Ministry|||2014-10-15|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3||||||||Prison Visit Report. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
201|prison-ministry-visits_2014-10-22+prison-visit+time-well-spent-the-name-of-god-tongues-psychics|Prison Ministry|||2014-10-22|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||A short discussion of some of the subjects covered in a prison visit. Expect the unexpected. My plans went undone, but it was time well spent. We discussed, among other things: the name of God, tongues, psychics. ||A short discussion of some of the subjects covered in a prison visit. Expect the unexpected. My plans went undone, but it was time well spent. We discussed, among other things: the name of God, tongues, psychics. |A Prison Visit: Time well spent, the name of God, tongues, psychics||A Priest should speak with a full voice:Prison Visit Reports|||||||
202|prison-ministry-visits_2014-11-24+the-gospel+race-relations|Prison Ministry|||2014-11-24|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||The Gospel is a living thing in our hearts, so we should experience it much more in our life than in words in a bible. I read the Gospel today in a letter from a prisoner, and was glad. A summary of that important letter. Also about race relations in prison. I talk to people that would never talk to me outside of prison walls. ||The Gospel is a living thing in our hearts, so we should experience it much more in our life than in words in a bible. I read the Gospel today in a letter from a prisoner, and was glad. A summary of that important letter. Also about race relations in prison. I talk to people that would never talk to me outside of prison walls.|The Gospel in a letter. The best place for the Gospel is in our hearts. Race relations in Prison||A Priest should speak with a full voice:Prison Visit Reports|||||||
203|prison-ministry-visits_2014-12-03+prison-visit+prison-liturgies-entrance-of-theotokos-tradition-save-us-fight|Prison Ministry|||2014-12-03|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||I served liturgy today in prison. Prison liturgies are different. I explain how. We read the Gospel about Mary and Martha and the woman in the crowd who cried out to Jesus and His answer, I explained why we read this for feasts of the Theotokos. Also why the name &quot;Theotokos&quot;, and why we say &quot; Most Holy Theotokos save us&quot; It all makes sense! Also, talked about tradition, the story of the feast, how I got involved in prison ministry and the two most important things I want anybody to remember from my humble ministry. The second is always fight!||I served liturgy today in prison. Prison liturgies are different. I explain how. We read the Gospel about Mary and Martha and the woman in the crowd who cried out to Jesus and His answer, I explained why we read this for feasts of the Theotokos. Also why the name &quot;Theotokos&quot;, and why we say &quot; Most Holy Theotokos save us&quot; It all makes sense! Also, talked about tradition, the story of the feast, how I got involved in prison ministry and the two most important things I want anybody to remember from my humble ministry. The second is always fight!|Prison Liturgies are Different. Entrance of the Theotokos. Why Theotokos save us? How to fight!||A Priest should speak with a full voice:Prison Visit Reports|||||||
204|prison-ministry-visits_2014-12-17+adapt-to-change-types-of-gods-laws-murder-fornication-homosexuality-weakness-because-of-sin|Prison Ministry|||2014-12-17|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Prison Visit Report. Teaching day. If you do not like to adapt to change, do not pray for this skill, or else God will put you into prison ministry! Discussion and teachning on Leviyticus, two kinds of God's laws, the three things I want everyone to know, murder vs killing, adultery vs fornication, can homosexuals come to church, is a suicide in Hell, how do deal wiuth eaknesses from habitual sins in our youth.||Prison Visit Report. Teaching day. If you do not like to adapt to change, do not pray for this skill, or else God will put you into prison ministry! Discussion &amp; teaching on Leviticus, two kinds of God's laws, the three things I want everyone to know, murder vs. killing, adultery vs. fornication, can homosexuals come to church, is a suicide in Hell, how do deal with weaknesses from habitual sins in our youth.|Prison Visit Report: adapting, the law of God, ceremonial law, sexual sins, can  homosexuals come to church, suicides, weakness from youthful sins.||A Priest should speak with a full voice:Prison Visit Reports|||||||
205|prison-ministry-visits_2015-01-22+two-baptisms-so-many-of-us-as-were-baptized-into-jesus-christ-were-baptized-into-his-death_romans6-3|Prison Ministry|||2015-01-22|Prison Ministry|0000|Prison Visit Reports|0002|Romans 6:3||||mp3|||||Report on a trip to the prison with 4 volunteers to baptize two men. Description of a typical day in prison ministry. Advice about who is qualified (and not qualified) for prison ministry. If you have fire in your belly, and you are adaptable to change, and you have fire in your belly, you are perfectly suited to prison ministry. If you are OCD, or like the expected to happen, you are not suited for prison ministry. About Romans 6, and what being baptized into &quot;His death&quot; is. About the unsymmetrical deaths. Explanation about the oil of gladness, and chrism, and the laying on of hands, and why we blow over the oil and anoint certain parts of the body. The slight crackling in the background is my fireplace. I am an amateur, in everything but nursing (since I get paid for that), so I decided to record in front of the fireplace, because the day was gloomy, and it was warm! ||Report on a trip to the prison with 4 volunteers to baptize two men. Description of a typical day in prison ministry. Advice about who is qualified (and not qualified) for prison ministry. If you have fire in your belly, and you are adaptable to change, and you have fire in your belly, you are perfectly suited to prison ministry. If you are OCD, or like the expected to happen, you are not suited for prison ministry. About Romans 6, and what being baptized into &quot;His death&quot; is. About the unsymmetrical deaths. Explanation about the oil of gladness, and chrism, and the laying on of hands, and why we blow over the oil and anoint certain parts of the body. The slight crackling in the background is my fireplace. I am an amateur, in everything but nursing (since I get paid for that), so I decided to record in front of the fireplace, because the day was gloomy, and it was warm! |Two baptisms in prison,. Qualifications for prison ministry. A typical day. What being baptized into &quot;His death&quot; is and many other aspects of the Orthodox baptism service. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
206|prison-ministry-visits_2015-02-25+presanctified-at-prison+a-priest-must-be-present-with-god-and-his-flock|Prison Ministry|||2015-02-25|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||These thoughts were recorded while driving home from a prison visit (hence the road noise) in which Presanctified Liturgy was served, and I had a very edifying thought while standing before the altar.<br> <br>My major task as a priest of God, akin to the holiest of the saints who are priests, is to be present with God and my flock in prayer, whether at home, in church, and especially before the altar. There is one thing needful for me to do as a priest - to pray. At the altar, a priest must wrap his arms around his flock, and pray that whatever they need, they would get. There are many skills that are very useful for a priest - calmness, organization, energy, preaching and counseling ability, but all is for naught if there is not frequent prayer, with presence, before God and his people. <br><br>Also some thoughts about how the priesthood, when bestowed upon a sinful man with limited abilities, causes his children and family to sacrifice a terrible amount. All that matters is presence, with God and those we love. The great consolation I have now is that even though I sacrificed presence with my family too much and cannot change history, I am intimately present with my family and flock with daily intercessory prayer. They can tell me, &quot;It's ok dad&quot;, but it was not ok, and these words and my daily prayer are offered as an apology and restitution. The average person has no idea how great and terrible the priesthood is. <br><br> These thoughts were partially caused, I think , by my &quot;taking stock&quot; as I approach the 20th anniversary of my ordination to the priesthood, on the 2nd Sunday of Great Lent, 1995 (Mar 6/19).||These thoughts were recorded while driving home from a prison visit (hence the road noise) in which Presanctified Liturgy was served, and I had a very edifying thought while standing before the altar.<br> <br>My major task as a priest of God, akin to the holiest of the saints who are priests, is to be present with God and my flock in prayer, whether at home, in church, and especially before the altar. There is one thing needful for me to do as a priest - to pray. At the altar, a priest must wrap his arms around his flock, and pray that whatever they need, they would get. There are many skills that are very useful for a priest - calmness, organization, energy, preaching and counseling ability, but all is for naught if there is not frequent prayer, with presence, before God and his people. <br><br>Also some thoughts about how the priesthood, when bestowed upon a sinful man with limited abilities, causes his children and family to sacrifice a terrible amount. All that matters is presence, with God and those we love. The great consolation I have now is that even though I sacrificed presence with my family too much and cannot change history, I am intimately present with my family and flock with daily intercessory prayer. They can tell me, &quot;It's ok dad&quot;, but it was not ok, and these words and my daily prayer are offered as an apology and restitution. The average person has no idea how great and terrible the priesthood is. <br><br> These thoughts were partially caused, I think , by my &quot;taking stock&quot; as I approach the 20th anniversary of my ordination to the priesthood, on the 2nd Sunday of Great Lent, 1995 (Mar 6/19).|A priest has one task - to be present in frequent prayer with his flock at all times. Presanctified Liturgy at the prison. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
207|prison-ministry-visits_2015-03-12+prayer-of-saint-ephrem-before-thy-cross+knowledge-desire-will-attributes-of-the-soul|Prison Ministry|||2015-03-12|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Recap of a prison ministry visit. We discussed the Prayer of St Ephrem and the Hymn &quot;Before Thy Cross&quot; in detail, and also the story of the finding of the Precious Cross. An important discussion of three God-given and God-like attributes of the soul: knowledge, desire and will, or the incensive power of the soul.  An explanation of why prisoners who are *not* in trouble get put in solitary. The Christian in prison ministry must have a good philosophy about prison work and be very adaptable. You cannot waste your time being upset about stuff, because you have work to do! To top is all off: a Chuck Norris joke!||Recap of a prison ministry visit. We discussed the Prayer of St Ephrem and the Hymn &quot;Before Thy Cross&quot; in detail, and also the story of the finding of the Precious Cross. An important discussion of three God-given and God-like attributes of the soul: knowledge, desire and will, or the incensive power of the soul.  An explanation of why prisoners who are *not* in trouble get put in solitary. The Christian in prison ministry must have a good philosophy about prison work and be very adaptable. You cannot waste your time being upset about stuff, because you have work to do! To top is all off: a Chuck Norris joke!|The Prayer of St Ephrem, &amp; &quot;Before Thy Cross&quot; explained in detail. Attributes of the soul: knowledge, desire, will. Prison ministry philosophy, and a Chuck Norris joke! ||A Priest should speak with a full voice:Prison Visit Reports|||||||
208|prison-ministry-visits_2015-03-25+great-canon-andrew-of-crete+life-saint-mary-of-egypt|Prison Ministry|||2015-03-25|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Description of a prison visit on the  Eve of the singing of the entire Great Canon of Crete, with the reading of the Life of St Mary of Egypt. We sang part of the canon and read all of the life and had discussion. Also an account of an amazing miracle and 3 new catechumen wannabes. A short description of the following stichera from the Great Canon, Odes 1 and 2: 1.7. I have willfully incurred the guilt of Cain's murder, since by invigorating my flesh I am the murderer of my soul's awareness, and have warred against it by my evil deeds. (Genesis 4:8)   1.11. I confess to Thee, O Savior, the sins I have committed, and the wounds of my body and soul which murderous thoughts like robbers within have inflicted upon me. (Luke 10:30)   1.12. I have sinned, O Savior, yet I know that Thou art the Lover of men. Thou strikest compassionately and pitiest warmly. Thou seest me weeping and runnest towards me as the Father recalling the Prodigal. (Luke 15:20)   1.16. O Lamb of God, Who takest away the sins of all, take from me the heavy yoke of sin, and in Thy compassion grant me tears of compunction (John 1:29)   2.4. A storm of passions besets me, O compassionate Lord. But stretch out Thy hand to me too, as to Peter. (Matthew 14:31)   2.10. All the demon-chiefs of the passions have plowed on my back, and long has their tyranny over me lasted. (Psalm 128:3)   2.21. I have buried with passions the beauty of the original image, O Savior. But seek and find it, like the lost coin. (Luke 15:8)   2.25. No tears, no repentance have I, no compunction. But as God, O Savior, grant me these.   2.34. O how I have emulated that old murderer Lamech! By my pleasure-loving cravings I have killed my soul as the man, my mind as the young man, and my body as my brother, like Cain the murderer. (Genesis 4:23)  ||Description of a prison visit on the  Eve of the singing of the entire Great Canon of Crete, with the reading of the Life of St Mary of Egypt. We sang part of the canon and read all of the life and had discussion. Also an account of an amazing miracle and 3 new catechumen wannabes. A short description of the following stichera from the Great Canon, Odes 1 and 2: 1.7. I have willfully incurred the guilt of Cain's murder, since by invigorating my flesh I am the murderer of my soul's awareness, and have warred against it by my evil deeds. (Genesis 4:8)   1.11. I confess to Thee, O Savior, the sins I have committed, and the wounds of my body and soul which murderous thoughts like robbers within have inflicted upon me. (Luke 10:30)   1.12. I have sinned, O Savior, yet I know that Thou art the Lover of men. Thou strikest compassionately and pitiest warmly. Thou seest me weeping and runnest towards me as the Father recalling the Prodigal. (Luke 15:20)   1.16. O Lamb of God, Who takest away the sins of all, take from me the heavy yoke of sin, and in Thy compassion grant me tears of compunction (John 1:29)   2.4. A storm of passions besets me, O compassionate Lord. But stretch out Thy hand to me too, as to Peter. (Matthew 14:31)   2.10. All the demon-chiefs of the passions have plowed on my back, and long has their tyranny over me lasted. (Psalm 128:3)   2.21. I have buried with passions the beauty of the original image, O Savior. But seek and find it, like the lost coin. (Luke 15:8)   2.25. No tears, no repentance have I, no compunction. But as God, O Savior, grant me these.   2.34. O how I have emulated that old murderer Lamech! By my pleasure-loving cravings I have killed my soul as the man, my mind as the young man, and my body as my brother, like Cain the murderer. (Genesis 4:23)  |A visit that actually went as planned: Great Canon of St. Andrew of Crete, Life of St Mary of Egypt, stimulating discussion, &amp; 3 catechumens. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
209|prison-ministry-visits_2015-06-24+singing-chanting-praying-when-angry-emotion-in-prayer|Prison Ministry|||2015-06-24|Prison Ministry|0000|Prison Visit Reports|0002|||||mp3|||||Summary of teaching at a prison visit.<br > How to sing the Akathist<br > Why do we sing A cappella and not with instruments.<br >  Emotion in prayer.<br > How is our liturgical prayer better for the soul?<br >  How to chant<br > Should we pray for a person when we are angry?<br > The two most important things I want to teach: to live according to our purpose, and to pray.  ||Summary of teaching at a prison visit.<br > How to sing the Akathist<br > Why do we sing A cappella and not with instruments.<br >  Emotion in prayer.<br > How is our liturgical prayer better for the soul?<br >  How to chant<br > Should we pray for a person when we are angry?<br > The two most important things I want to teach: to live according to our purpose, and to pray.  |Teaching at the prison: The Akathist, chanting, emotion in prayer, praying when angry, two most important things: purpose and prayer||A Priest should speak with a full voice:Prison Visit Reports|||||||
210|prison-ministry-visits_2015-11-18+prison-visit-report+1st-liturgy-at-powledge-baptism-at-michael|Prison Ministry|Prison Visit Report||2015-11-18|Prison Ministry|0000|Prison Visit Reports|0002||||txt|||||||||Divine Liturgy at the Powledge Unit. Baptism at the Michael Unit. Differences in the prison Typicon and practice. ||A Priest should speak with a full voice:Prison Visit Reports|||||||
211|prison-ministry-visits_2015-12-04-letter-from-inmate+how-has-orthodox-prison-ministry-affected-me|Prison Ministry|How Has Orthodox Prison Ministry Affected Me||2015-12-04-letter-from-inmate|Prison Ministry|0000|Prison Visit Reports|0002||||txt|||||||||||A Priest should speak with a full voice:Prison Visit Reports|||||||
212|prison-ministry_2014-02-19+talk-on-prison-ministry-at-oca-pastoral-assembly|Prison Ministry|||2014-02-19|Prison Ministry|0000|Etc|0003|||||mp3|||||Prison Ministry talk, given at the OCA Diocese of the South Pastoral Assembly, with the 4 things you need to know about prison ministry, then a lot of other stuff - advice, mistakes, and stories. 36 minutes of rompin stompin prison ministry talkin! I hope it will inspire you to get involved, with your time, or almsgiving. The ministry is expensive, because Texas is a big state||Prison Ministry talk, given at the OCA Diocese of the South Pastoral Assembly, with the 4 things you need to know about prison ministry, then a lot of other stuff - advice, mistakes, and stories. 36 minutes of rompin stompin prison ministry talkin! I hope it will inspire you to get involved, with your time, or almsgiving. The ministry is expensive, because Texas is a big state|A talk on Prison Ministry given at the OCA Pastoral Assembly at St Maximus Orthodox Church, Denton Texas||A Priest should speak with a full voice:Etc|||||||




